Symbol,Sector,Industry,Full Time Employees,Total ESG Risk score,Environment Risk Score,Governance Risk Score,Social Risk Score,Controversy Level,Controversy Score,ESG Risk Percentile,ESG Risk Level
TSCO,Consumer Cyclical,Specialty Retail,"50,000",16.1,0.136,0.09146341463414634,0.3410138248847926,Moderate Controversy Level,2.0,14th percentile,Low
SYY,Consumer Defensive,Food Distribution,"72,000",15.9,0.21600000000000003,0.09146341463414634,0.24423963133640553,Moderate Controversy Level,2.0,14th percentile,Low
MCO,Financial Services,Financial Data & Stock Exchanges,"15,439",15.8,0.064,0.3109756097560976,0.24423963133640553,Moderate Controversy Level,2.0,14th percentile,Low
CPRT,Industrials,Specialty Business Services,"12,000",16.0,0.06,0.15853658536585366,0.37788018433179726,Low Controversy Level,1.0,14th percentile,Low
CPT,Real Estate,REIT - Residential,"1,640",16.1,0.16,0.31707317073170727,0.14285714285714285,Low Controversy Level,1.0,14th percentile,Low
BBY,Consumer Cyclical,Specialty Retail,"85,000",15.9,0.096,0.08536585365853663,0.3824884792626728,Moderate Controversy Level,2.0,14th percentile,Low
AVY,Consumer Cyclical,Packaging & Containers,"35,000",16.1,0.456,0.0426829268292683,0.004608294930875577,Low Controversy Level,1.0,14th percentile,Low
ANSS,Technology,Software - Application,"6,200",15.9,0.14,0.12804878048780485,0.2995391705069124,None Controversy Level,,14th percentile,Low
WBA,Healthcare,Pharmaceutical Retailers,"330,000",16.3,0.07200000000000001,0.13414634146341467,0.391705069124424,Significant Controversy Level,3.0,15th percentile,Low
OMC,Communication Services,Advertising Agencies,"75,900",16.3,0.004,0.2378048780487805,0.391705069124424,Low Controversy Level,1.0,15th percentile,Low
NFLX,Communication Services,Entertainment,"13,000",16.4,0.004,0.36585365853658536,0.2995391705069124,Moderate Controversy Level,2.0,15th percentile,Low
MSCI,Financial Services,Financial Data & Stock Exchanges,"5,858",16.3,0.064,0.28658536585365857,0.2857142857142857,Low Controversy Level,1.0,15th percentile,Low
MET,Financial Services,Insurance - Life,"45,000",16.4,0.027999999999999997,0.35365853658536595,0.2857142857142857,Moderate Controversy Level,2.0,15th percentile,Low
L,Financial Services,Insurance - Property & Casualty,"12,280",16.4,0.024,0.5182926829268293,0.16129032258064516,Moderate Controversy Level,2.0,15th percentile,Low
INTU,Technology,Software - Application,"18,200",16.4,0.04,0.10365853658536586,0.456221198156682,Moderate Controversy Level,2.0,15th percentile,Low
WY,Real Estate,REIT - Specialty,"9,300",16.7,0.364,0.03048780487804878,0.1566820276497696,Moderate Controversy Level,2.0,16th percentile,Low
WM,Industrials,Waste Management,"48,000",16.6,0.324,0.018292682926829257,0.20276497695852536,Moderate Controversy Level,2.0,16th percentile,Low
V,Financial Services,Credit Services,,16.7,0.07200000000000001,0.22560975609756098,0.3410138248847926,Significant Controversy Level,3.0,16th percentile,Low
HIG,Financial Services,Insurance - Property & Casualty,"18,700",16.6,0.07200000000000001,0.2804878048780488,0.29493087557603687,Low Controversy Level,1.0,16th percentile,Low
NOW,Technology,Software - Application,"22,668",16.6,0.16,0.21951219512195122,0.23963133640552997,None Controversy Level,,16th percentile,Low
RVTY,Healthcare,Diagnostics & Research,"11,000",16.7,0.032,0.17073170731707318,0.42857142857142855,Moderate Controversy Level,2.0,16th percentile,Low
PAYX,Industrials,Staffing & Employment Services,"16,000",16.7,0.128,0.20731707317073175,0.29493087557603687,Low Controversy Level,1.0,16th percentile,Low
EXPD,Industrials,Integrated Freight & Logistics,"18,403",16.6,0.168,0.10975609756097562,0.31336405529953915,Moderate Controversy Level,2.0,16th percentile,Low
GLW,Technology,Electronic Components,"49,800",16.5,0.22,0.1890243902439024,0.18433179723502305,Moderate Controversy Level,2.0,16th percentile,Low
BR,Technology,Information Technology Services,"14,000",16.6,0.168,0.11585365853658539,0.3087557603686636,Moderate Controversy Level,2.0,16th percentile,Low
ADSK,Technology,Software - Application,,16.8,0.14800000000000002,0.11585365853658539,0.3410138248847926,None Controversy Level,,16th percentile,Low
ANET,Technology,Computer Hardware,"4,023",16.7,0.016,0.2682926829268293,0.3732718894009217,Low Controversy Level,1.0,16th percentile,Low
URI,Industrials,Rental & Leasing Services,"26,650",16.9,0.212,0.1463414634146342,0.24423963133640553,Low Controversy Level,1.0,17th percentile,Low
TER,Technology,Semiconductor Equipment & Materials,"6,600",17.0,0.284,0.12195121951219515,0.18894009216589863,None Controversy Level,,17th percentile,Low
TROW,Financial Services,Asset Management,"7,878",16.9,0.096,0.15853658536585366,0.3732718894009217,Low Controversy Level,1.0,17th percentile,Low
RF,Financial Services,Banks - Regional,"20,101",16.9,0.07200000000000001,0.3292682926829269,0.271889400921659,Moderate Controversy Level,2.0,17th percentile,Low
MA,Financial Services,Credit Services,"33,400",17.1,0.08800000000000001,0.32317073170731714,0.271889400921659,High Controversy Level,4.0,17th percentile,Low
LULU,Consumer Cyclical,Apparel Retail,"38,000",16.9,0.064,0.1524390243902439,0.41935483870967744,Moderate Controversy Level,2.0,17th percentile,Low
GEN,Technology,Software - Infrastructure,"3,400",16.9,0.132,0.1463414634146342,0.3410138248847926,Moderate Controversy Level,2.0,17th percentile,Low
FITB,Financial Services,Banks - Regional,"18,657",16.8,0.048,0.27439024390243905,0.33640552995391704,Moderate Controversy Level,2.0,17th percentile,Low
AKAM,Technology,Software - Infrastructure,"10,250",17.0,0.12,0.2378048780487805,0.29032258064516125,Low Controversy Level,1.0,17th percentile,Low
SYF,Financial Services,Credit Services,"20,000",17.3,0.004,0.2621951219512195,0.41935483870967744,Moderate Controversy Level,2.0,18th percentile,Low
KLAC,Technology,Semiconductor Equipment & Materials,"15,000",17.2,0.29600000000000004,0.0975609756097561,0.19815668202764974,None Controversy Level,,18th percentile,Low
FFIV,Technology,Software - Infrastructure,"6,077",17.1,0.16399999999999998,0.1463414634146342,0.31336405529953915,Low Controversy Level,1.0,18th percentile,Low
BIO,Healthcare,Medical Devices,"8,000",17.4,0.048,0.24390243902439027,0.3870967741935484,Low Controversy Level,1.0,18th percentile,Low
AAPL,Technology,Consumer Electronics,"150,000",17.2,0.02,0.3902439024390244,0.30414746543778803,Significant Controversy Level,3.0,18th percentile,Low
VRSK,Industrials,Consulting Services,"7,500",17.5,0.004,0.12195121951219515,0.5391705069124425,Low Controversy Level,1.0,19th percentile,Low
COO,Healthcare,Medical Instruments & Supplies,"15,000",17.5,0.10800000000000001,0.1829268292682927,0.3686635944700461,Moderate Controversy Level,2.0,19th percentile,Low
ROK,Industrials,Specialty Industrial Machinery,"29,000",17.7,0.21600000000000003,0.16463414634146342,0.2672811059907834,Moderate Controversy Level,2.0,19th percentile,Low
LDOS,Technology,Information Technology Services,"47,000",17.6,0.136,0.14024390243902438,0.37788018433179726,Moderate Controversy Level,2.0,19th percentile,Low
HLT,Consumer Cyclical,Lodging,"178,000",17.6,0.244,0.08536585365853663,0.2857142857142857,Moderate Controversy Level,2.0,19th percentile,Low
FIS,Technology,Information Technology Services,"60,000",17.5,0.16399999999999998,0.13414634146341467,0.3410138248847926,Low Controversy Level,1.0,19th percentile,Low
EBAY,Consumer Cyclical,Internet Retail,"12,300",17.6,0.10800000000000001,0.25609756097560976,0.31797235023041476,Moderate Controversy Level,2.0,19th percentile,Low
DG,Consumer Defensive,Discount Stores,"185,800",17.6,0.14,0.1524390243902439,0.35944700460829493,Moderate Controversy Level,2.0,19th percentile,Low
KEYS,Technology,Scientific & Technical Instruments,"15,400",7.6,0.048,0.10365853658536586,0.04608294930875576,Low Controversy Level,1.0,1st percentile,Negligible
HAS,Consumer Cyclical,Leisure,"5,502",7.1,0.0,0.07317073170731711,0.0967741935483871,Moderate Controversy Level,2.0,1st percentile,Negligible
PYPL,Financial Services,Credit Services,"27,200",17.8,0.11199999999999999,0.17073170731707318,0.3870967741935484,Moderate Controversy Level,2.0,20th percentile,Low
EG,Financial Services,Insurance - Reinsurance,"2,844",18.0,0.055999999999999994,0.4207317073170732,0.271889400921659,Low Controversy Level,1.0,20th percentile,Low
ETN,Industrials,Specialty Industrial Machinery,"94,000",17.9,0.22,0.16463414634146342,0.2764976958525346,Low Controversy Level,1.0,20th percentile,Low
CME,Financial Services,Financial Data & Stock Exchanges,"3,565",17.8,0.084,0.3780487804878049,0.26267281105990786,Low Controversy Level,1.0,20th percentile,Low
XYL,Industrials,Specialty Industrial Machinery,"23,000",18.1,0.172,0.13414634146341467,0.3640552995391705,Low Controversy Level,1.0,21st percentile,Low
ROST,Consumer Cyclical,Apparel Retail,"108,000",18.2,0.07200000000000001,0.16463414634146342,0.46082949308755766,Moderate Controversy Level,2.0,21st percentile,Low
REGN,Healthcare,Biotechnology,"13,677",18.0,0.012,0.22560975609756098,0.4700460829493088,Moderate Controversy Level,2.0,21st percentile,Low
MU,Technology,Semiconductors,"43,000",18.2,0.28800000000000003,0.1524390243902439,0.21658986175115208,Moderate Controversy Level,2.0,21st percentile,Low
CTAS,Industrials,Specialty Business Services,"44,500",18.1,0.12,0.17682926829268295,0.3870967741935484,Moderate Controversy Level,2.0,21st percentile,Low
BLK,Financial Services,Asset Management,"19,300",18.3,0.036000000000000004,0.426829268292683,0.30414746543778803,Moderate Controversy Level,2.0,21st percentile,Low
BEN,Financial Services,Asset Management,"10,100",18.3,0.044000000000000004,0.2621951219512195,0.41935483870967744,Moderate Controversy Level,2.0,22nd percentile,Low
FDS,Financial Services,Financial Data & Stock Exchanges,"12,279",18.4,0.172,0.14024390243902438,0.3686635944700461,Low Controversy Level,1.0,22nd percentile,Low
AFL,Financial Services,Insurance - Life,"12,785",18.3,0.012,0.3597560975609756,0.3824884792626728,Low Controversy Level,1.0,22nd percentile,Low
ZTS,Healthcare,Drug Manufacturers - Specialty & Generic,"14,100",18.8,0.128,0.3475609756097561,0.2764976958525346,Moderate Controversy Level,2.0,23rd percentile,Low
WTW,Financial Services,Insurance Brokers,"48,000",18.7,0.004,0.47560975609756106,0.3225806451612903,Moderate Controversy Level,2.0,23rd percentile,Low
VZ,Communication Services,Telecom Services,"104,400",18.7,0.14800000000000002,0.1463414634146342,0.4055299539170507,Significant Controversy Level,3.0,23rd percentile,Low
UPS,Industrials,Integrated Freight & Logistics,"500,000",18.6,0.168,0.1524390243902439,0.3732718894009217,Moderate Controversy Level,2.0,23rd percentile,Low
PKG,Consumer Cyclical,Packaging & Containers,"14,900",18.6,0.56,0.03658536585365854,0.01382488479262673,Low Controversy Level,1.0,23rd percentile,Low
LVS,Consumer Cyclical,Resorts & Casinos,"38,400",18.7,0.092,0.3475609756097561,0.31797235023041476,Moderate Controversy Level,2.0,23rd percentile,Low
ILMN,Healthcare,Diagnostics & Research,"10,590",18.6,0.004,0.2378048780487805,0.4976958525345622,Significant Controversy Level,3.0,23rd percentile,Low
IDXX,Healthcare,Diagnostics & Research,"11,000",18.7,0.10400000000000001,0.3597560975609756,0.29032258064516125,Low Controversy Level,1.0,23rd percentile,Low
JKHY,Technology,Information Technology Services,"7,120",18.7,0.172,0.16463414634146342,0.3640552995391705,None Controversy Level,,23rd percentile,Low
ES,Utilities,Utilities - Regulated Electric,"10,000",18.6,0.188,0.1463414634146342,0.35944700460829493,Moderate Controversy Level,2.0,23rd percentile,Low
EW,Healthcare,Medical Devices,"19,800",18.6,0.11599999999999999,0.2804878048780488,0.33640552995391704,Low Controversy Level,1.0,23rd percentile,Low
AXP,Financial Services,Credit Services,"74,600",18.6,0.004,0.4085365853658536,0.3732718894009217,Moderate Controversy Level,2.0,23rd percentile,Low
PTC,Technology,Software - Application,"7,438",18.9,0.196,0.1463414634146342,0.35944700460829493,None Controversy Level,,24th percentile,Low
KMI,Energy,Oil & Gas Midstream,"10,891",19.0,0.332,0.03048780487804878,0.29493087557603687,Moderate Controversy Level,2.0,24th percentile,Low
INTC,Technology,Semiconductors,"130,700",18.9,0.196,0.21951219512195122,0.2995391705069124,Significant Controversy Level,3.0,24th percentile,Low
IT,Technology,Information Technology Services,"20,290",18.9,0.004,0.15853658536585366,0.5714285714285715,Low Controversy Level,1.0,24th percentile,Low
FTNT,Technology,Software - Infrastructure,"13,522",18.9,0.1,0.20731707317073175,0.423963133640553,Low Controversy Level,1.0,24th percentile,Low
IQV,Healthcare,Diagnostics & Research,"87,000",19.1,0.052000000000000005,0.25609756097560976,0.45161290322580644,Moderate Controversy Level,2.0,25th percentile,Low
CMI,Industrials,Specialty Industrial Machinery,"75,500",19.3,0.22399999999999998,0.17682926829268295,0.31797235023041476,Moderate Controversy Level,2.0,25th percentile,Low
BKNG,Consumer Cyclical,Travel Services,"24,000",19.2,0.04,0.3109756097560976,0.42857142857142855,Significant Controversy Level,3.0,25th percentile,Low
ROL,Consumer Cyclical,Personal Services,"19,000",19.3,0.07200000000000001,0.2378048780487805,0.45161290322580644,Low Controversy Level,1.0,26th percentile,Low
CHRW,Industrials,Integrated Freight & Logistics,"14,990",19.3,0.188,0.14024390243902438,0.391705069124424,Low Controversy Level,1.0,26th percentile,Low
APH,Technology,Electronic Components,"95,000",19.6,0.292,0.2804878048780488,0.17511520737327188,Moderate Controversy Level,2.0,26th percentile,Low
NXPI,Technology,Semiconductors,"34,200",19.8,0.344,0.17073170731707318,0.21198156682027652,Low Controversy Level,1.0,27th percentile,Low
NKE,Consumer Cyclical,Footwear & Accessories,"83,700",19.6,0.12,0.22560975609756098,0.423963133640553,Significant Controversy Level,3.0,27th percentile,Low
LH,Healthcare,Diagnostics & Research,"67,000",19.7,0.016,0.21951219512195122,0.5483870967741936,Moderate Controversy Level,2.0,27th percentile,Low
ICE,Financial Services,Financial Data & Stock Exchanges,"13,226",19.8,0.068,0.35365853658536595,0.391705069124424,Low Controversy Level,1.0,27th percentile,Low
HUBB,Industrials,Electrical Equipment & Parts,"18,400",19.6,0.22399999999999998,0.11585365853658539,0.3824884792626728,None Controversy Level,,27th percentile,Low
FI,Technology,Information Technology Services,"42,000",19.6,0.16399999999999998,0.23170731707317074,0.3640552995391705,Moderate Controversy Level,2.0,27th percentile,Low
FDX,Industrials,Integrated Freight & Logistics,"328,000",19.7,0.228,0.15853658536585366,0.3502304147465438,Moderate Controversy Level,2.0,27th percentile,Low
ECL,Basic Materials,Specialty Chemicals,"48,000",19.9,0.34,0.14024390243902438,0.24423963133640553,Moderate Controversy Level,2.0,27th percentile,Low
CHD,Consumer Defensive,Household & Personal Products,"5,550",19.9,0.276,0.22560975609756098,0.2534562211981567,Low Controversy Level,1.0,27th percentile,Low
YUM,Consumer Cyclical,Restaurants,"35,000",20.1,0.18,0.0670731707317073,0.4884792626728111,Moderate Controversy Level,2.0,28th percentile,Medium
PRU,Financial Services,Insurance - Life,"40,366",19.9,0.024,0.38414634146341464,0.423963133640553,Low Controversy Level,1.0,28th percentile,Low
PGR,Financial Services,Insurance - Property & Casualty,"61,432",20.0,0.06,0.4329268292682926,0.3548387096774194,Moderate Controversy Level,2.0,28th percentile,Medium
DLTR,Consumer Defensive,Discount Stores,"65,894",20.1,0.132,0.06097560975609756,0.5529953917050692,Moderate Controversy Level,2.0,28th percentile,Medium
DE,Industrials,Farm & Heavy Construction Machinery,"83,000",20.0,0.10800000000000001,0.21341463414634146,0.46082949308755766,Moderate Controversy Level,2.0,28th percentile,Low
CNC,Healthcare,Healthcare Plans,"59,900",19.9,0.004,0.21341463414634146,0.5760368663594471,Moderate Controversy Level,2.0,28th percentile,Low
AVGO,Technology,Semiconductors,"20,000",20.0,0.292,0.21951219512195122,0.23963133640552997,Significant Controversy Level,3.0,28th percentile,Low
TRV,Financial Services,Insurance - Property & Casualty,"32,967",20.3,0.04,0.426829268292683,0.391705069124424,Low Controversy Level,1.0,29th percentile,Medium
SLB,Energy,Oil & Gas Equipment & Services,"111,000",20.3,0.324,0.17682926829268295,0.2534562211981567,Low Controversy Level,1.0,29th percentile,Medium
NVR,Consumer Cyclical,Residential Construction,"6,300",20.3,0.28800000000000003,0.13414634146341467,0.3225806451612903,Low Controversy Level,1.0,29th percentile,Medium
GL,Financial Services,Insurance - Life,"3,636",20.4,0.064,0.45731707317073167,0.34562211981566826,Moderate Controversy Level,2.0,29th percentile,Medium
AMP,Financial Services,Asset Management,"13,800",20.3,0.084,0.44512195121951226,0.3225806451612903,Moderate Controversy Level,2.0,29th percentile,Medium
STX,Technology,Computer Hardware,"33,400",10.7,0.064,0.14024390243902438,0.13824884792626727,Low Controversy Level,1.0,2nd percentile,Low
CDW,Technology,Information Technology Services,"11,400",9.2,0.1,0.03048780487804878,0.11059907834101382,None Controversy Level,,2nd percentile,Negligible
CBRE,Real Estate,Real Estate Services,"130,000",8.0,0.06,0.0975609756097561,0.05069124423963133,Low Controversy Level,1.0,2nd percentile,Negligible
TXN,Technology,Semiconductors,"34,000",20.6,0.312,0.2378048780487805,0.23963133640552997,Moderate Controversy Level,2.0,30th percentile,Medium
ROP,Technology,Software - Application,"16,800",20.4,0.188,0.1890243902439024,0.41013824884792627,None Controversy Level,,30th percentile,Medium
NEM,Basic Materials,Gold,"21,700",20.5,0.284,0.13414634146341467,0.3410138248847926,Significant Controversy Level,3.0,30th percentile,Medium
GRMN,Technology,Scientific & Technical Instruments,"19,900",20.7,0.192,0.07926829268292682,0.4976958525345622,Low Controversy Level,1.0,30th percentile,Medium
CMG,Consumer Cyclical,Restaurants,"120,000",20.7,0.272,0.07926829268292682,0.4055299539170507,Moderate Controversy Level,2.0,30th percentile,Medium
BRO,Financial Services,Insurance Brokers,"16,152",20.5,0.004,0.46341463414634143,0.4147465437788019,Low Controversy Level,1.0,30th percentile,Medium
BRK-B,Financial Services,Insurance - Diversified,"396,500",20.7,0.04,0.7195121951219513,0.18894009216589863,Low Controversy Level,1.0,30th percentile,Medium
RCL,Consumer Cyclical,Travel Services,"98,100",20.7,0.324,0.11585365853658539,0.31797235023041476,Significant Controversy Level,3.0,31st percentile,Medium
RSG,Industrials,Waste Management,"41,000",20.9,0.44799999999999995,0.0426829268292683,0.23963133640552997,Significant Controversy Level,3.0,31st percentile,Medium
LYB,Basic Materials,Specialty Chemicals,"20,000",20.7,0.54,0.12804878048780485,0.0599078341013825,Moderate Controversy Level,2.0,31st percentile,Medium
GPN,Industrials,Specialty Business Services,"27,000",20.9,0.14800000000000002,0.21341463414634146,0.456221198156682,Low Controversy Level,1.0,31st percentile,Medium
BK,Financial Services,Asset Management,"52,100",20.9,0.044000000000000004,0.4207317073170732,0.41935483870967744,Moderate Controversy Level,2.0,31st percentile,Medium
MMC,Financial Services,Insurance Brokers,"85,000",21.1,0.004,0.4085365853658536,0.48387096774193555,Moderate Controversy Level,2.0,32nd percentile,Medium
ISRG,Healthcare,Medical Instruments & Supplies,"13,676",21.1,0.14800000000000002,0.29268292682926833,0.4055299539170507,Low Controversy Level,1.0,32nd percentile,Medium
GIS,Consumer Defensive,Packaged Foods,"34,000",21.1,0.332,0.0670731707317073,0.3640552995391705,Moderate Controversy Level,2.0,32nd percentile,Medium
DHI,Consumer Cyclical,Residential Construction,"13,450",21.0,0.348,0.16463414634146342,0.271889400921659,Moderate Controversy Level,2.0,32nd percentile,Medium
CBOE,Financial Services,Financial Data & Stock Exchanges,"1,647",21.0,0.10800000000000001,0.46341463414634143,0.31336405529953915,Low Controversy Level,1.0,32nd percentile,Medium
VRSN,Technology,Software - Infrastructure,907,21.3,0.188,0.17073170731707318,0.46082949308755766,Low Controversy Level,1.0,33rd percentile,Medium
KR,Consumer Defensive,Grocery Stores,"414,000",21.3,0.264,0.15853658536585366,0.3824884792626728,Significant Controversy Level,3.0,33rd percentile,Medium
DGX,Healthcare,Diagnostics & Research,"50,000",21.2,0.004,0.30487804878048785,0.566820276497696,Significant Controversy Level,3.0,33rd percentile,Medium
TAP,Consumer Defensive,Beverages - Brewers,"16,500",21.4,0.292,0.1524390243902439,0.35944700460829493,Moderate Controversy Level,2.0,33rd percentile,Medium
AJG,Financial Services,Insurance Brokers,"49,821",21.2,0.004,0.4329268292682926,0.4654377880184332,Moderate Controversy Level,2.0,33rd percentile,Medium
LNT,Utilities,Utilities - Regulated Electric,"3,281",21.4,0.34,0.20121951219512194,0.2672811059907834,None Controversy Level,,33rd percentile,Medium
PHM,Consumer Cyclical,Residential Construction,"6,382",21.4,0.368,0.11585365853658539,0.2995391705069124,Moderate Controversy Level,2.0,34th percentile,Medium
MRK,Healthcare,Drug Manufacturers - General,"70,000",21.4,0.076,0.3597560975609756,0.45161290322580644,Significant Controversy Level,3.0,34th percentile,Medium
MAR,Consumer Cyclical,Lodging,"411,000",21.4,0.344,0.0426829268292683,0.3870967741935484,Significant Controversy Level,3.0,34th percentile,Medium
KEY,Financial Services,Banks - Regional,"16,752",21.4,0.064,0.4695121951219512,0.3870967741935484,Low Controversy Level,1.0,34th percentile,Medium
J,Industrials,Engineering & Construction,"60,000",22.4,0.212,0.15853658536585366,0.49308755760368667,Significant Controversy Level,3.0,34th percentile,Medium
AWK,Utilities,Utilities - Regulated Water,"6,500",21.6,0.36,0.12195121951219515,0.31336405529953915,Low Controversy Level,1.0,34th percentile,Medium
WMB,Energy,Oil & Gas Midstream,"5,601",21.8,0.348,0.0,0.42857142857142855,Moderate Controversy Level,2.0,35th percentile,Medium
WRB,Financial Services,Insurance - Property & Casualty,"8,329",21.8,0.08,0.5426829268292683,0.3271889400921659,Low Controversy Level,1.0,35th percentile,Medium
HBAN,Financial Services,Banks - Regional,"19,719",21.8,0.08,0.3475609756097561,0.4792626728110599,Moderate Controversy Level,2.0,35th percentile,Medium
KO,Consumer Defensive,Beverages - Non-Alcoholic,"79,100",21.6,0.28800000000000003,0.11585365853658539,0.4009216589861751,Significant Controversy Level,3.0,35th percentile,Medium
CMS,Utilities,Utilities - Regulated Electric,"8,356",21.7,0.384,0.13414634146341467,0.2764976958525346,Moderate Controversy Level,2.0,35th percentile,Medium
CLX,Consumer Defensive,Household & Personal Products,"8,100",21.6,0.308,0.14024390243902438,0.35944700460829493,Moderate Controversy Level,2.0,35th percentile,Medium
ALLE,Industrials,Security & Protection Services,"12,200",21.8,0.436,0.12195121951219515,0.2304147465437788,None Controversy Level,,35th percentile,Medium
ALL,Financial Services,Insurance - Property & Casualty,"53,000",22.0,0.04,0.4817073170731707,0.42857142857142855,Moderate Controversy Level,2.0,36th percentile,Medium
PEP,Consumer Defensive,Beverages - Non-Alcoholic,"318,000",22.1,0.292,0.13414634146341467,0.4055299539170507,Significant Controversy Level,3.0,36th percentile,Medium
PNR,Industrials,Specialty Industrial Machinery,"10,500",22.1,0.24,0.1890243902439024,0.423963133640553,Low Controversy Level,1.0,36th percentile,Medium
MDLZ,Consumer Defensive,Confectioners,"91,000",22.0,0.28800000000000003,0.1463414634146342,0.39631336405529954,Significant Controversy Level,3.0,36th percentile,Medium
CVS,Healthcare,Healthcare Plans,"219,000",22.0,0.0,0.19512195121951223,0.6912442396313365,Significant Controversy Level,3.0,36th percentile,Medium
CSX,Industrials,Railroads,"23,400",21.9,0.28,0.10975609756097562,0.423963133640553,Moderate Controversy Level,2.0,36th percentile,Medium
CSGP,Real Estate,Real Estate Services,"6,152",21.9,0.196,0.28658536585365857,0.391705069124424,Low Controversy Level,1.0,36th percentile,Medium
AMGN,Healthcare,Drug Manufacturers - General,"26,700",22.0,0.027999999999999997,0.29268292682926833,0.5852534562211982,Significant Controversy Level,3.0,36th percentile,Medium
MAS,Industrials,Building Products & Equipment,"18,000",22.2,0.38799999999999996,0.23170731707317074,0.22119815668202764,Low Controversy Level,1.0,37th percentile,Medium
F,Consumer Cyclical,Auto Manufacturers,"177,000",22.4,0.29600000000000004,0.33536585365853655,0.25806451612903225,Significant Controversy Level,3.0,37th percentile,Medium
BIIB,Healthcare,Drug Manufacturers - General,"7,570",22.2,0.016,0.2682926829268293,0.631336405529954,Significant Controversy Level,3.0,37th percentile,Medium
